.maxVal,.nDown,.staircase,.minVal,.stepType,.label,.stepSizes,.nUp,.startVal,.condition,.thisIndex,.thisRepN,.thisN,.direction,.stepSize,.intensity,actual_onset_time,actual_offset_time,intertrial_interval,prestimulus_period,stimulus_presentation_window,poststimulus_waiting_period,correct_answer,answer_choice_position,answer_choice,is_correct,RT,.response,wordlist,gender,date-run,hand,conditions,subject,
None,1,baseline,0.05,db,easy,4,3,2.0,Auditory,0,1,0,start,4,2.0,1.76666666667,2.73431251734,1,1,1,1,duel,right,duel,True,76.8398749828,True,list1.yaml,female,2017-Jan-19-155340,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_1_A_E_AV_P,
None,1,baseline,0.05,db,hard,4,1,2.0,Auditory,1,1,1,start,4,2.0,1.1,2.20110417465,1,1,1,1,dried,down,ride,False,86.8233249187,False,list1.yaml,female,2017-Jan-19-155340,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_1_A_E_AV_P,
None,1,baseline,0.05,db,hard,4,1,2.0,Auditory,1,2,2,up,4,3.16978638492,0.116666666667,1.08431251734,1,1,1,1,main,up,main,True,95.9832141399,True,list1.yaml,female,2017-Jan-19-155340,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_1_A_E_AV_P,
None,1,baseline,0.05,db,easy,4,3,2.0,Auditory,0,2,3,down,4,1.26191468896,1.66666666667,2.66766663946,1,1,1,1,brink,left,brink,True,106.50316,True,list1.yaml,female,2017-Jan-19-155340,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_1_A_E_AV_P,
None,1,baseline,0.05,db,easy,4,3,2.0,Auditory,0,3,4,down,4,0.796214341107,0.45,1.68458334177,1,1,1,1,sprain,right,slain,False,116.742777109,False,list1.yaml,female,2017-Jan-19-155340,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_1_A_E_AV_P,
None,1,baseline,0.05,db,hard,4,1,2.0,Auditory,1,3,5,down,4,2.0,0.866666666667,2.00114585634,1,1,1,1,pick,left,tick,False,126.238703012,False,list1.yaml,female,2017-Jan-19-155340,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_1_A_E_AV_P,
None,1,baseline,0.05,db,easy,4,3,2.0,Auditory,0,4,6,up,4,1.26191468896,0.716666666667,1.58420830653,1,1,1,1,told,left,gold,False,135.462532043,False,list1.yaml,female,2017-Jan-19-155340,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_1_A_E_AV_P,
None,1,baseline,0.05,db,hard,4,1,2.0,Auditory,1,4,7,up,4,3.16978638492,0.3,1.66804169518,1,1,1,1,stride,left,stride,True,144.566365957,True,list1.yaml,female,2017-Jan-19-155340,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_1_A_E_AV_P,
None,1,baseline,0.05,db,hard,4,1,2.0,Auditory,1,5,8,down,4,2.0,0.35,1.38437500096,1,1,1,1,hose,up,chose,False,154.182259083,False,list1.yaml,female,2017-Jan-19-155340,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_1_A_E_AV_P,
None,1,baseline,0.05,db,easy,4,3,2.0,Auditory,0,5,9,up,4,1.26191468896,1.63333333333,2.80116664654,1,1,1,1,thing,left,think,False,164.454164982,False,list1.yaml,female,2017-Jan-19-155340,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_1_A_E_AV_P,
